time_s,reference_rad_s,pid_speed_rad_s,ml_speed_rad_s,pid_voltage_v,ml_voltage_v,disturbance_torque_nm
3.38,1,1.00024,1.00025,10.0097,10.0097,0
3.39,1,1.00023,1.00024,10.0097,10.0097,0
3.4,1,1.00023,1.00024,10.0097,10.0097,0
3.41,1,1.00022,1.00023,10.0097,10.0097,0
3.42,1,1.00022,1.00023,10.0097,10.0097,0
3.43,1,1.00021,1.00022,10.0097,10.0097,0
3.44,1,1.00021,1.00021,10.0098,10.0097,0
3.45,1,1.0002,1.00021,10.0098,10.0097,0
3.46,1,1.0002,1.0002,10.0098,10.0097,0
3.47,1,1.00019,1.0002,10.0098,10.0097,0
3.48,1,1.00019,1.0002,10.0098,10.0097,0
3.49,1,1.00019,1.00019,10.0098,10.0097,0
3.5,1,1.00018,1.00019,10.0098,10.0098,0
3.51,1,1.00018,1.00018,10.0098,10.0098,0
3.52,1,1.00017,1.00018,10.0098,10.0098,0
3.53,1,1.00017,1.00017,10.0098,10.0098,0
3.54,1,1.00017,1.00017,10.0098,10.0098,0
3.55,1,1.00016,1.00017,10.0098,10.0098,0
3.56,1,1.00016,1.00016,10.0098,10.0098,0
3.57,1,1.00015,1.00016,10.0098,10.0098,0
3.58,1,1.00015,1.00015,10.0098,10.0098,0
3.59,1,1.00015,1.00015,10.0098,10.0098,0
3.6,1,1.00014,1.00015,10.0098,10.0098,0
3.61,1,1.00014,1.00014,10.0098,10.0098,0
3.62,1,1.00014,1.00014,10.0098,10.0098,0
3.63,1,1.00013,1.00014,10.0098,10.0098,0
3.64,1,1.00013,1.00013,10.0098,10.0098,0
3.65,1,1.00013,1.00013,10.0098,10.0098,0
3.66,1,1.00013,1.00013,10.0099,10.0098,0
3.67,1,1.00012,1.00012,10.0099,10.0098,0
3.68,1,1.00012,1.00012,10.0099,10.0098,0
3.69,1,1.00012,1.00012,10.0099,10.0098,0
3.7,1,1.00011,1.00012,10.0099,10.0098,0
3.71,1,1.00011,1.00011,10.0099,10.0098,0
3.72,1,1.00011,1.00011,10.0099,10.0099,0
3.73,1,1.00011,1.00011,10.0099,10.0099,0
3.74,1,1.0001,1.00011,10.0099,10.0099,0
3.75,1,1.0001,1.0001,10.0099,10.0099,0
3.76,1,1.0001,1.0001,10.0099,10.0099,0
3.77,1,1.0001,1.0001,10.0099,10.0099,0
3.78,1,1.0001,1.0001,10.0099,10.0099,0
3.79,1,1.00009,1.00009,10.0099,10.0099,0
3.8,1,1.00009,1.00009,10.0099,10.0099,0
3.81,1,1.00009,1.00009,10.0099,10.0099,0
3.82,1,1.00009,1.00009,10.0099,10.0099,0
3.83,1,1.00008,1.00009,10.0099,10.0099,0
3.84,1,1.00008,1.00008,10.0099,10.0099,0
3.85,1,1.00008,1.00008,10.0099,10.0099,0
3.86,1,1.00008,1.00008,10.0099,10.0099,0
3.87,1,1.00008,1.00008,10.0099,10.0099,0
3.88,1,1.00008,1.00008,10.0099,10.0099,0
3.89,1,1.00007,1.00007,10.0099,10.0099,0
3.9,1,1.00007,1.00007,10.0099,10.0099,0
3.91,1,1.00007,1.00007,10.0099,10.0099,0
3.92,1,1.00007,1.00007,10.0099,10.0099,0
3.93,1,1.00007,1.00007,10.0099,10.0099,0
3.94,1,1.00007,1.00007,10.0099,10.0099,0
3.95,1,1.00006,1.00006,10.0099,10.0099,0
3.96,1,1.00006,1.00006,10.0099,10.0099,0
3.97,1,1.00006,1.00006,10.0099,10.0099,0
3.98,1,1.00006,1.00006,10.0099,10.0099,0
3.99,1,1.00006,1.00006,10.0099,10.0099,0
4,1,1.00006,1.00006,10.0099,10.0099,0
4.01,1,1.00006,1.00006,10.0099,10.0099,0
4.02,1,1.00005,1.00005,10.0099,10.0099,0
4.03,1,1.00005,1.00005,10.0099,10.0099,0
4.04,1,1.00005,1.00005,10.0099,10.0099,0
4.05,1,1.00005,1.00005,10.0099,10.0099,0
4.06,1,1.00005,1.00005,10.0099,10.0099,0
4.07,1,1.00005,1.00005,10.0099,10.0099,0
4.08,1,1.00005,1.00005,10.0099,10.0099,0
4.09,1,1.00005,1.00005,10.0099,10.0099,0
4.1,1,1.00005,1.00005,10.0099,10.0099,0
4.11,1,1.00004,1.00004,10.0099,10.0099,0
4.12,1,1.00004,1.00004,10.0099,10.0099,0
4.13,1,1.00004,1.00004,10.0099,10.0099,0
4.14,1,1.00004,1.00004,10.01,10.0099,0
4.15,1,1.00004,1.00004,10.01,10.0099,0
4.16,1,1.00004,1.00004,10.01,10.0099,0
4.17,1,1.00004,1.00004,10.01,10.0099,0
4.18,1,1.00004,1.00004,10.01,10.0099,0
4.19,1,1.00004,1.00004,10.01,10.01,0
4.2,1,1.00004,1.00004,10.01,10.01,0
4.21,1,1.00004,1.00003,10.01,10.01,0
4.22,1,1.00003,1.00003,10.01,10.01,0
4.23,1,1.00003,1.00003,10.01,10.01,0
4.24,1,1.00003,1.00003,10.01,10.01,0
4.25,1,1.00003,1.00003,10.01,10.01,0
4.26,1,1.00003,1.00003,10.01,10.01,0
4.27,1,1.00003,1.00003,10.01,10.01,0
4.28,1,1.00003,1.00003,10.01,10.01,0
4.29,1,1.00003,1.00003,10.01,10.01,0
4.3,1,1.00003,1.00003,10.01,10.01,0
4.31,1,1.00003,1.00003,10.01,10.01,0
4.32,1,1.00003,1.00003,10.01,10.01,0
4.33,1,1.00003,1.00003,10.01,10.01,0
4.34,1,1.00003,1.00003,10.01,10.01,0
4.35,1,1.00003,1.00003,10.01,10.01,0
4.36,1,1.00002,1.00002,10.01,10.01,0
4.37,1,1.00002,1.00002,10.01,10.01,0
4.38,1,1.00002,1.00002,10.01,10.01,0
4.39,1,1.00002,1.00002,10.01,10.01,0
4.4,1,1.00002,1.00002,10.01,10.01,0
4.41,1,1.00002,1.00002,10.01,10.01,0
4.42,1,1.00002,1.00002,10.01,10.01,0
4.43,1,1.00002,1.00002,10.01,10.01,0
4.44,1,1.00002,1.00002,10.01,10.01,0
4.45,1,1.00002,1.00002,10.01,10.01,0
4.46,1,1.00002,1.00002,10.01,10.01,0
4.47,1,1.00002,1.00002,10.01,10.01,0
4.48,1,1.00002,1.00002,10.01,10.01,0
4.49,1,1.00002,1.00002,10.01,10.01,0
4.5,1,1.00002,1.00002,10.01,10.01,0
4.51,1,1.00002,1.00002,10.01,10.01,0
4.52,1,1.00002,1.00002,10.01,10.01,0
4.53,1,1.00002,1.00002,10.01,10.01,0
4.54,1,1.00002,1.00002,10.01,10.01,0
4.55,1,1.00002,1.00002,10.01,10.01,0
4.56,1,1.00002,1.00002,10.01,10.01,0
4.57,1,1.00002,1.00001,10.01,10.01,0
4.58,1,1.00001,1.00001,10.01,10.01,0
4.59,1,1.00001,1.00001,10.01,10.01,0
4.6,1,1.00001,1.00001,10.01,10.01,0
4.61,1,1.00001,1.00001,10.01,10.01,0
4.62,1,1.00001,1.00001,10.01,10.01,0
4.63,1,1.00001,1.00001,10.01,10.01,0
4.64,1,1.00001,1.00001,10.01,10.01,0
4.65,1,1.00001,1.00001,10.01,10.01,0
4.66,1,1.00001,1.00001,10.01,10.01,0
4.67,1,1.00001,1.00001,10.01,10.01,0
4.68,1,1.00001,1.00001,10.01,10.01,0
4.69,1,1.00001,1.00001,10.01,10.01,0
4.7,1,1.00001,1.00001,10.01,10.01,0
4.71,1,1.00001,1.00001,10.01,10.01,0
4.72,1,1.00001,1.00001,10.01,10.01,0
4.73,1,1.00001,1.00001,10.01,10.01,0
4.74,1,1.00001,1.00001,10.01,10.01,0
4.75,1,1.00001,1.00001,10.01,10.01,0
4.76,1,1.00001,1.00001,10.01,10.01,0
4.77,1,1.00001,1.00001,10.01,10.01,0
4.78,1,1.00001,1.00001,10.01,10.01,0
4.79,1,1.00001,1.00001,10.01,10.01,0
4.8,1,1.00001,1.00001,10.01,10.01,0
4.81,1,1.00001,1.00001,10.01,10.01,0
4.82,1,1.00001,1.00001,10.01,10.01,0
4.83,1,1.00001,1.00001,10.01,10.01,0
4.84,1,1.00001,1.00001,10.01,10.01,0
4.85,1,1.00001,1.00001,10.01,10.01,0
4.86,1,1.00001,1.00001,10.01,10.01,0
4.87,1,1.00001,1.00001,10.01,10.01,0
4.88,1,1.00001,1.00001,10.01,10.01,0
4.89,1,1.00001,1.00001,10.01,10.01,0
4.9,1,1.00001,1.00001,10.01,10.01,0
